Timestamp,Vehicle ID,Speed (km/h)
20250404_133020,21,51.1,snapshots\vehicle_21_20250404_133020.jpg
20250404_133020,21,54.5,snapshots\vehicle_21_20250404_133020.jpg
20250404_133020,21,58.0,snapshots\vehicle_21_20250404_133020.jpg
20250404_133020,21,61.3,snapshots\vehicle_21_20250404_133020.jpg
20250404_133021,21,64.7,snapshots\vehicle_21_20250404_133021.jpg
20250404_133021,21,67.4,snapshots\vehicle_21_20250404_133021.jpg
20250404_133021,21,70.4,snapshots\vehicle_21_20250404_133021.jpg
20250404_133021,21,73.2,snapshots\vehicle_21_20250404_133021.jpg
20250404_133021,21,74.9,snapshots\vehicle_21_20250404_133021.jpg
20250404_133021,21,72.4,snapshots\vehicle_21_20250404_133021.jpg
20250404_133021,24,52.2,snapshots\vehicle_24_20250404_133021.jpg
20250404_133021,21,69.8,snapshots\vehicle_21_20250404_133021.jpg
20250404_133021,24,56.4,snapshots\vehicle_24_20250404_133021.jpg
20250404_133021,21,67.4,snapshots\vehicle_21_20250404_133021.jpg
20250404_133021,24,61.5,snapshots\vehicle_24_20250404_133021.jpg
20250404_133021,21,66.6,snapshots\vehicle_21_20250404_133021.jpg
20250404_133021,24,66.7,snapshots\vehicle_24_20250404_133021.jpg
20250404_133021,21,66.5,snapshots\vehicle_21_20250404_133021.jpg
20250404_133021,24,70.1,snapshots\vehicle_24_20250404_133021.jpg
20250404_133021,21,66.5,snapshots\vehicle_21_20250404_133021.jpg
20250404_133021,24,70.2,snapshots\vehicle_24_20250404_133021.jpg
20250404_133021,21,66.5,snapshots\vehicle_21_20250404_133021.jpg
20250404_133021,24,69.4,snapshots\vehicle_24_20250404_133021.jpg
20250404_133021,21,66.5,snapshots\vehicle_21_20250404_133021.jpg
20250404_133021,24,69.1,snapshots\vehicle_24_20250404_133021.jpg
20250404_133022,21,66.5,snapshots\vehicle_21_20250404_133022.jpg
20250404_133022,24,68.6,snapshots\vehicle_24_20250404_133022.jpg
20250404_133022,21,66.5,snapshots\vehicle_21_20250404_133022.jpg
20250404_133022,24,68.4,snapshots\vehicle_24_20250404_133022.jpg
20250404_133022,21,66.5,snapshots\vehicle_21_20250404_133022.jpg
20250404_133022,24,68.4,snapshots\vehicle_24_20250404_133022.jpg
20250404_133022,21,66.5,snapshots\vehicle_21_20250404_133022.jpg
20250404_133022,24,68.4,snapshots\vehicle_24_20250404_133022.jpg
20250404_133022,21,66.5,snapshots\vehicle_21_20250404_133022.jpg
20250404_133022,24,68.4,snapshots\vehicle_24_20250404_133022.jpg
20250404_133022,21,66.5,snapshots\vehicle_21_20250404_133022.jpg
20250404_133022,24,68.4,snapshots\vehicle_24_20250404_133022.jpg
20250404_133022,21,66.5,snapshots\vehicle_21_20250404_133022.jpg
20250404_133022,24,68.4,snapshots\vehicle_24_20250404_133022.jpg
20250404_133022,24,68.4,snapshots\vehicle_24_20250404_133022.jpg
20250404_133022,24,68.4,snapshots\vehicle_24_20250404_133022.jpg
20250404_133022,24,68.4,snapshots\vehicle_24_20250404_133022.jpg
20250404_133022,24,68.4,snapshots\vehicle_24_20250404_133022.jpg
20250404_133023,25,51.9,snapshots\vehicle_25_20250404_133023.jpg
20250404_133023,25,55.3,snapshots\vehicle_25_20250404_133023.jpg
20250404_133023,25,59.3,snapshots\vehicle_25_20250404_133023.jpg
20250404_133023,25,60.4,snapshots\vehicle_25_20250404_133023.jpg
20250404_133023,25,70.0,snapshots\vehicle_25_20250404_133023.jpg
20250404_133023,25,75.7,snapshots\vehicle_25_20250404_133023.jpg
20250404_133023,25,79.8,snapshots\vehicle_25_20250404_133023.jpg
20250404_133024,25,83.6,snapshots\vehicle_25_20250404_133024.jpg
20250404_133024,25,83.4,snapshots\vehicle_25_20250404_133024.jpg
20250404_133024,25,81.9,snapshots\vehicle_25_20250404_133024.jpg
20250404_133024,25,79.9,snapshots\vehicle_25_20250404_133024.jpg
20250404_133024,25,77.9,snapshots\vehicle_25_20250404_133024.jpg
20250404_133024,25,76.1,snapshots\vehicle_25_20250404_133024.jpg
20250404_133024,25,75.6,snapshots\vehicle_25_20250404_133024.jpg
20250404_133024,25,75.5,snapshots\vehicle_25_20250404_133024.jpg
20250404_133024,25,75.4,snapshots\vehicle_25_20250404_133024.jpg
20250404_133024,25,75.4,snapshots\vehicle_25_20250404_133024.jpg
20250404_133024,25,75.4,snapshots\vehicle_25_20250404_133024.jpg
20250404_133024,25,75.4,snapshots\vehicle_25_20250404_133024.jpg
20250404_133024,25,75.4,snapshots\vehicle_25_20250404_133024.jpg
20250404_133025,25,75.4,snapshots\vehicle_25_20250404_133025.jpg
20250404_133025,25,75.4,snapshots\vehicle_25_20250404_133025.jpg
20250404_133025,25,75.4,snapshots\vehicle_25_20250404_133025.jpg
20250404_133025,29,51.9,snapshots\vehicle_29_20250404_133025.jpg
20250404_133025,29,54.9,snapshots\vehicle_29_20250404_133025.jpg
20250404_133025,29,56.0,snapshots\vehicle_29_20250404_133025.jpg
20250404_133025,29,63.1,snapshots\vehicle_29_20250404_133025.jpg
20250404_133025,29,68.8,snapshots\vehicle_29_20250404_133025.jpg
20250404_133025,29,70.5,snapshots\vehicle_29_20250404_133025.jpg
20250404_133026,29,71.0,snapshots\vehicle_29_20250404_133026.jpg
20250404_133026,29,77.5,snapshots\vehicle_29_20250404_133026.jpg
20250404_133026,29,79.2,snapshots\vehicle_29_20250404_133026.jpg
20250404_133026,29,79.0,snapshots\vehicle_29_20250404_133026.jpg
20250404_133026,29,77.4,snapshots\vehicle_29_20250404_133026.jpg
20250404_133026,29,77.0,snapshots\vehicle_29_20250404_133026.jpg
20250404_133026,29,76.8,snapshots\vehicle_29_20250404_133026.jpg
20250404_133026,29,76.8,snapshots\vehicle_29_20250404_133026.jpg
20250404_133026,29,76.8,snapshots\vehicle_29_20250404_133026.jpg
20250404_133026,29,76.8,snapshots\vehicle_29_20250404_133026.jpg
20250404_133026,29,76.8,snapshots\vehicle_29_20250404_133026.jpg
20250404_133026,29,76.8,snapshots\vehicle_29_20250404_133026.jpg
20250404_133027,29,76.8,snapshots\vehicle_29_20250404_133027.jpg
20250404_133027,29,76.8,snapshots\vehicle_29_20250404_133027.jpg
20250404_133027,29,76.8,snapshots\vehicle_29_20250404_133027.jpg
20250404_133028,30,50.1,snapshots\vehicle_30_20250404_133028.jpg
20250404_133028,33,50.5,snapshots\vehicle_33_20250404_133028.jpg
20250404_133028,30,53.9,snapshots\vehicle_30_20250404_133028.jpg
20250404_133028,33,53.9,snapshots\vehicle_33_20250404_133028.jpg
20250404_133028,30,56.9,snapshots\vehicle_30_20250404_133028.jpg
20250404_133028,33,57.6,snapshots\vehicle_33_20250404_133028.jpg
20250404_133028,30,56.4,snapshots\vehicle_30_20250404_133028.jpg
20250404_133028,33,60.4,snapshots\vehicle_33_20250404_133028.jpg
20250404_133028,30,55.8,snapshots\vehicle_30_20250404_133028.jpg
20250404_133028,33,60.9,snapshots\vehicle_33_20250404_133028.jpg
20250404_133028,30,54.0,snapshots\vehicle_30_20250404_133028.jpg
